"","Nazwisko","Wiek","Aktualne.miejsce.w.rankingu"
"529","Brian Higgins ","57","1645"
"530","Huang Min ","48","1645"
"531","Kim Kardashian ","41","1645"
"532","Dominika Kulczyk ","44","1645"
"533","Peter Leibinger ","55","1645"
"534","Liu Zhongtian & family ","58","1645"
"535","Yves-Loic Martin ","56","1645"
"536","David Paul ","55","1645"
"537","Miranda Qu ","37","1645"
"538","Robert Toennies ","43","1645"
"539","Wu Lanlan & family ","48","1645"
"540","Wu Yulan ","52","1645"
"541","Xu Xudong & family ","52","1645"
"542","Yang Xuegang ","57","1645"
"543","Marc Andreessen ","50","1729"
"544","John Bicket ","42","1729"
"545","Alex Birkenstock ","53","1729"
"546","Christian Birkenstock ","49","1729"
"547","Sanjit Biswas ","40","1729"
"548","Saket Burman ","45","1729"
"549","Ivan Chrenko ","54","1729"
"550","Sol Daurella ","56","1729"
"551","Oleg Deripaska ","54","1729"
"552","Dong Jinggui ","52","1729"
"553","Keith Dunleavy & family ","52","1729"
"554","He Zhaoxi ","48","1729"
"555","Huh Jae-myung ","50","1729"
"556","Dmitry Kamenshchik ","53","1729"
"557","Kim Taek-jin ","55","1729"
"558","Koo Kwang-mo ","44","1729"
"559","Li Jianli ","49","1729"
"560","Weiwei Li ","45","1729"
"561","Li Zhigang ","45","1729"
"562","Jimmy John Liautaud ","58","1729"
"563","Louise Lindh ","42","1729"
"564","Rihanna ","34","1729"
"565","Shang Xiaobo & family ","48","1729"
"566","Weijie Sun ","58","1729"
"567","Vonnarat Tangkaravakoon ","50","1729"
"568","Jan Van Geet ","50","1729"
"569","Radha Vembu ","49","1729"
"570","Mingwang Wang ","54","1729"
"571","Lars Wingefors ","45","1729"
"572","Wu Xiangdong ","53","1729"
"573","Yao Kuizhang ","57","1729"
"574","Yu Lili ","54","1729"
"575","Kaitian Zeng ","47","1729"
"576","Zhang Yubai ","57","1729"
"577","Zhu Yiming ","49","1729"
"578","Zhaojiang Zhu ","48","1729"
"579","Clifford Asness ","55","1818"
"580","Amit Burman ","52","1818"
"581","Chen Shibin ","55","1818"
"582","Chen Tianshi ","37","1818"
"583","Ana Lucia de Mattos Barretto Villela ","48","1818"
"584","Diao Zhizhong ","58","1818"
"585","Gary Fegel ","48","1818"
"586","Gao Yunfeng ","55","1818"
"587","Lance Gokongwei ","54","1818"
"588","Sergei Gordeev ","49","1818"
"589","Hu Kunhui ","31","1818"
"590","Jared Isaacman ","39","1818"
"591","Sunjay Kapur ","50","1818"
"592","David Xueling Li ","49","1818"
"593","Li Guoqing ","52","1818"
"594","Li Jiaquan ","58","1818"
"595","Li Yongqing ","57","1818"
"596","Liu Aisen & family ","49","1818"
"597","Lu Zongjun ","58","1818"
"598","Lv Jianming ","57","1818"
"599","Tomas Olivo Lopez ","48","1818"
