"","Nazwisko","Wiek","Aktualne.miejsce.w.rankingu"
"415","Gail Miller ","78","951"
"416","Candido Pinheiro Koren de Lima ","75","951"
"417","Rita Tong Liu ","73","951"
"418","Zhang Daocai ","72","951"
"419","John Caudwell ","69","984"
"420","Philippe Foriel-Destezet ","86","984"
"421","Walter Frey ","78","984"
"422","Otto Happel ","74","984"
"423","Peter Hargreaves ","75","984"
"424","Harsh Mariwala ","70","984"
"425","Madhukar Parekh ","75","984"
"426","Haim Saban ","77","984"
"427","Klaus-Peter Schulenberg ","70","984"
"428","Neal Blue & family ","87","1012"
"429","Bernard Ecclestone & family ","91","1012"
"430","Michael Federmann & family ","78","1012"
"431","Heidi Horten ","81","1012"
"432","Sheldon Lavin ","89","1012"
"433","Karsanbhai Patel ","78","1012"
"434","Sybill Storz ","84","1012"
"435","Donald Trump ","75","1012"
"436","Tsai Ming-kai ","71","1012"
"437","Rufino Vigil Gonzalez ","73","1012"
"438","Zhigang Wu & family ","87","1012"
"439","Xie Juhua & family ","71","1012"
"440","Charles Zegar ","74","1012"
"441","Mortimer Zuckerman ","84","1012"
"442","Juan Abello ","80","1053"
"443","Riley Bechtel & family ","70","1053"
"444","Stewart Horejsi & family ","84","1053"
"445","Zhenda Huang & family ","74","1053"
"446","Jeremy Jacobs, Sr. & family ","82","1053"
"447","Hamilton James ","70","1053"
"448","Drayton McLane, Jr. ","85","1053"
"449","Roger Penske ","85","1053"
"450","Masateru Uno & family ","75","1053"
"451","Frank VanderSloot ","73","1053"
"452","Jose Joao Abdalla Filho ","76","1096"
"453","Bill Alfond ","73","1096"
"454","Susan Alfond ","76","1096"
"455","Ted Alfond ","77","1096"
"456","Cao Ji ","70","1096"
"457","John Paul DeJoria ","77","1096"
"458","Beda Diethelm ","81","1096"
"459","Bennett Dorrance ","76","1096"
"460","Abhay Firodia ","77","1096"
"461","Allan Goldman ","79","1096"
"462","J. Tomilson Hill ","73","1096"
"463","James Jannard ","72","1096"
"464","Diane Kemper ","76","1096"
"465","Kwek Leng Beng ","81","1096"
"466","Maritsa Lazari & family ","77","1096"
"467","Lin Chen-hai ","75","1096"
"468","Sergio Mantegazza ","94","1096"
"469","Hans Melchers ","83","1096"
"470","Eugene Murtagh ","79","1096"
"471","Richard Peery ","83","1096"
"472","Gregorio Perez Companc & family ","86","1096"
"473","Sebastian Piñera & family ","72","1096"
"474","Nicholas Pritzker ","78","1096"
"475","Isabella Seràgnoli ","76","1096"
"476","Stephen Smith ","70","1096"
"477","Sun Shoukuan ","72","1096"
"478","Henry Sy, Jr. ","69","1096"
"479","Andrew Tan ","70","1096"
"480","Tung Chee Hwa ","84","1096"
"481","Xicheng Wang & family ","73","1096"
"482","Xu Chuanhua & family ","87","1096"
"483","Bill Austin ","80","1163"
"484","Giuliana Benetton ","84","1163"
"485","Luciano Benetton ","86","1163"
"486","George Bishop ","84","1163"
"487","Vivek Chand Burman ","84","1163"
"488","Morris Chang ","90","1163"
"489","Jack Cockwell ","81","1163"
"490","Edward DeBartolo, Jr. ","75","1163"
"491","Abilio dos Santos Diniz ","85","1163"
"492","John Dorrance, III. ","78","1163"
"493","Carlos Hank Rhon ","74","1163"
"494","C. Dean Metropoulos ","75","1163"
"495","Dan Olsson ","75","1163"
"496","Hussain Sajwani ","69","1163"
"497","Takao Yasuda ","72","1163"
"498","Harindarpal Banga ","71","1196"
"499","Norman Braman ","89","1196"
"500","J. Hyatt Brown ","84","1196"
"501","Chen Lip Keong ","74","1196"
"502","Alceu Elias Feldmann ","72","1196"
"503","Doris Fisher ","90","1196"
"504","Alec Gores ","69","1196"
"505","Li Hongxin & family ","69","1196"
"506","Lu Zhongfang ","79","1196"
"507","Ronald Perelman ","79","1196"
"508","Tahir & family ","70","1196"
"509","Suhail Bahwan ","83","1238"
"510","Charles Bronfman ","90","1238"
"511","Chen Tei-fu ","73","1238"
"512","Chuchat Petaumpai & Daonapa Petampai ","69","1238"
"513","Leon G. Cooperman ","78","1238"
"514","Smita Crishna-Godrej ","71","1238"
"515","Gerald Ford ","77","1238"
"516","Adi Godrej ","80","1238"
"517","Jamshyd Godrej ","73","1238"
"518","Nadir Godrej ","71","1238"
"519","Donald Horton & family ","72","1238"
"520","Baba Kalyani ","73","1238"
"521","Stephen Lansdown ","69","1238"
"522","Mohamed Mansour ","74","1238"
"523","Kishore Mariwala ","87","1238"
"524","Willy Michel ","75","1238"
"525","Lachhman Das Mittal ","91","1238"
"526","Charles Munger ","98","1238"
"527","Rishad Naoroji ","70","1238"
"528","Yongpei Ni & family ","70","1238"
"529","Qiu Minxiu ","76","1238"
"530","Stewart Rahr ","76","1238"
"531","Prathap Reddy ","90","1238"
"532","Glen Taylor ","80","1238"
"533","George Argyros & family ","85","1292"
"534","Edward Bass ","76","1292"
"535","Banwari Lal Bawri ","69","1292"
"536","Girdhari Lal Bawri ","74","1292"
"537","Chao Teng-hsiung ","77","1292"
"538","William Franke ","84","1292"
"539","Hans Langer ","70","1292"
"540","Alberto Roemmers ","95","1292"
"541","Rodney Sacks ","72","1292"
"542","Hilton Schlosberg ","69","1292"
