"","Nazwisko","Wiek","Branza","Najwiekszy.progres.majatku","Lata.miedzy.ktorymi.najbardziej.zwiekszyl.a.majatek","Najwiekszy.regres.majatku","Lata.miedzy.ktorymi.najbardziej.zmniejszyl.a.majatek"
"1898","Jim Crane ",68,"Sports ",0.0999999999999999,"2020 - 2021",0,"2015 - 2016"
"1899","Ayman Hariri ",43,"Construction & Engineering ",0.0999999999999999,"2015 - 2016",0,"2020 - 2021"
"1900","George Alexander Muthoot ",66,"Finance & Investments ",0.0999999999999999,"2021 - 2022",0,"2015 - 2016"
"1901","George Jacob Muthoot ",69,"Finance & Investments ",0.0999999999999999,"2021 - 2022",0,"2015 - 2016"
"1902","George Thomas Muthoot ",71,"Finance & Investments ",0.0999999999999999,"2021 - 2022",0,"2015 - 2016"
"1903","Jose Maria Aristrain ",59,"Metals & Mining ",0.0999999999999999,"2017 - 2018",0,"2015 - 2016"
"1904","Thomas Bailey ",85,"Finance & Investments ",0.0999999999999999,"2017 - 2018",0,"2015 - 2016"
"1905","Cai Hongbin ",64,"Healthcare ",0.0999999999999999,"2021 - 2022",0,"2015 - 2016"
"1906","Fahed Hariri ",41,"Construction & Engineering ",0.0999999999999999,"2021 - 2022",0,"2015 - 2016"
"1907","Mohammed Ibrahim ",75,"Telecom ",0.0999999999999999,"2021 - 2022",0,"2015 - 2016"
"1908","Hedda im Brahm-Droege ",67,"Finance & Investments ",0.0999999999999999,"2021 - 2022",-2.5,"2020 - 2021"
"1909","Carsten Maschmeyer ",62,"Finance & Investments ",0.0999999999999999,"2021 - 2022",0,"2015 - 2016"
"1910","Michael Price ",69,"Finance & Investments ",0.0999999999999999,"2020 - 2021",-0.2,"2015 - 2016"
"1911","Leonard Schleifer ",69,"Healthcare ",0.0999999999999999,"2016 - 2017",-0.6,"2021 - 2022"
"1912","Winarko Sulistyo ",76,"Manufacturing ",0.0999999999999999,"2020 - 2021",0,"2015 - 2016"
"1913","Wang Kunxiao ",52,"Manufacturing ",0.0999999999999999,"2021 - 2022",0,"2015 - 2016"
"1914","Benedicte Find ",64,"Healthcare ",0.0999999999999999,"2020 - 2021",-0.0999999999999999,"2021 - 2022"
"1915","Kim Jung-woong ",47,"Fashion & Retail ",0.0999999999999999,"2020 - 2021",-0.0999999999999999,"2021 - 2022"
"1916","Li Tan ",57,"Healthcare ",0.0999999999999999,"2016 - 2017",-0.2,"2021 - 2022"
"1917","Lun Ruixiang & family ",54,"Real Estate ",0.0999999999999999,"2020 - 2021",-0.0999999999999999,"2021 - 2022"
"1918","Kerr Neilson ",72,"Finance & Investments ",0.0999999999999999,"2017 - 2018",-1.4,"2015 - 2016"
"1919","Ben Ashkenazy ",52,"Real Estate ",0.0499999999999998,"2018 - 2019",-0.6,"2020 - 2021"
"1920","François Pinault & family ",85,"Fashion & Retail ",0,"32",-1.9,"2021 - 2022"
"1921","Beate Heister & Karl Albrecht Jr. & family ",64,"Fashion & Retail ",0,"35",0,"2015 - 2016"
"1922","Miriam Adelson ",76,"Gambling & Casinos ",0,"50",-10.7,"2021 - 2022"
"1923","Renata Kellnerova & family ",54,"Finance & Investments ",0,"104",0,"2015 - 2016"
"1924","Jeff Yass ",63,"Finance & Investments ",0,"157",0,"2015 - 2016"
"1925","Zhang Congyuan ",74,"Fashion & Retail ",0,"165",0,"2015 - 2016"
"1926","Xing Wang ",43,"Technology ",0,"179",0,"2015 - 2016"
"1927","Richard Liu ",48,"Technology ",0,"189",0,"2015 - 2016"
"1928","Shuirong Li ",65,"Manufacturing ",0,"193",0,"2015 - 2016"
"1929","Jorge Moll Filho & family ",77,"Healthcare ",0,"207",-1.5,"2021 - 2022"
"1930","Liu Yonghao & family ",70,"Service ",0,"226",-3,"2021 - 2022"
"1931","Marie-Hélène Habert-Dassault ",57,"Diversified ",0,"256",0,"2015 - 2016"
"1932","Francine von Finck & family ",64,"Finance & Investments ",0,"261",0,"2015 - 2016"
"1933","Dmitri Bukhman ",36,"Media & Entertainment ",0,"276",0,"2015 - 2016"
"1934","Stewart & Lynda Resnick ",64,"Food & Beverage ",0,"284",0,"2015 - 2016"
"1935","Hasso Plattner & family ",78,"Technology ",0,"293",-4.1,"2020 - 2021"
"1936","Bajaj siblings ",64,"Automotive ",0,"304",0,"2015 - 2016"
"1937","Vicky Safra ",69,"Finance & Investments ",0,"322",0,"2015 - 2016"
"1938","Zhou Qunfei & family ",52,"Technology ",0,"342",-8.3,"2021 - 2022"
"1939","Edythe Broad & family ",86,"Diversified ",0,"352",0,"2015 - 2016"
"1940","Lucia Maggi & family ",89,"Diversified ",0,"358",0,"2015 - 2016"
"1941","Alejandro Bailleres Gual & siblings ",61,"Diversified ",0,"369",0,"2015 - 2016"
"1942","Enrique Razon Jr. ",62,"Logistics ",0,"373",0,"2015 - 2016"
"1943","Axel Oberwelland & siblings ",55,"Food & Beverage ",0,"391",0,"2015 - 2016"
"1944","Cliff Obrecht ",36,"Technology ",0,"392",0,"2015 - 2016"
"1945","Melanie Perkins ",34,"Technology ",0,"394",0,"2015 - 2016"
"1946","Melinda French Gates ",57,"Technology ",0,"412",0,"2015 - 2016"
"1947","Stef Wertheimer & family ",95,"Manufacturing ",0,"417",0,"2015 - 2016"
"1948","Gary Wang ",28,"Finance & Investments ",0,"437",0,"2015 - 2016"
"1949","Odd Reitan & family ",70,"Fashion & Retail ",0,"466",-0.399999999999999,"2021 - 2022"
"1950","Tang Xiao'ou ",54,"Technology ",0,"468",0,"2015 - 2016"
"1951","Erich Wesjohann & family ",76,"Food & Beverage ",0,"478",-1.2,"2021 - 2022"
"1952","Chen Zhiping ",46,"Manufacturing ",0,"492",-10.5,"2021 - 2022"
"1953","Lin Muqin & family ",58,"Food & Beverage ",0,"502",0,"2015 - 2016"
"1954","Chris Xu ",38,"Fashion & Retail ",0,"506",0,"2015 - 2016"
"1955","Dietmar Hopp & family ",81,"Technology ",0,"512",-4.8,"2021 - 2022"
"1956","Chan Laiwa & family ",81,"Real Estate ",0,"538",-0.7,"2021 - 2022"
"1957","Wei Fang ",48,"Manufacturing ",0,"557",0,"2015 - 2016"
"1958","Scott Shleifer ",44,"Finance & Investments ",0,"568",0,"2015 - 2016"
"1959","Autry Stephens ",83,"Energy ",0,"569",0,"2015 - 2016"
"1960","Xiao Yongming & family ",57,"Diversified ",0,"574",0,"2015 - 2016"
"1961","Daniel Ziff ",50,"Finance & Investments ",0,"576",-0.100000000000001,"2015 - 2016"
"1962","Dirk Ziff ",58,"Finance & Investments ",0,"577",-0.100000000000001,"2015 - 2016"
"1963","Robert Ziff ",55,"Finance & Investments ",0,"578",-0.100000000000001,"2015 - 2016"
"1964","Mat Ishbia ",42,"Finance & Investments ",0,"580",-4.8,"2021 - 2022"
"1965","Alexandra Schoerghuber & family ",63,"Real Estate ",0,"583",0,"2015 - 2016"
"1966","Yeow Chor & Yeow Seng Lee ",64,"Food & Beverage ",0,"591",0,"2015 - 2016"
"1967","Wang Junlin ",59,"Food & Beverage ",0,"599",-1.5,"2021 - 2022"
"1968","Robert Brockman ",80,"Technology ",0,"604",-1.3,"2021 - 2022"
"1969","Trudy Cathy White ",66,"Food & Beverage ",0,"625",0,"2015 - 2016"
"1970","Baoguo Zhu & family ",59,"Healthcare ",0,"636",0,"2015 - 2016"
"1971","Todd Boehly ",48,"Finance & Investments ",0,"640",0,"2015 - 2016"
"1972","Falguni Nayar ",59,"Fashion & Retail ",0,"645",0,"2015 - 2016"
"1973","Zhang Hejun ",64,"Manufacturing ",0,"653",0,"2015 - 2016"
"1974","Lu Yiwen ",35,"Fashion & Retail ",0,"662",0,"2015 - 2016"
"1975","Vikram Lal & family ",80,"Automotive ",0,"678",-0.7,"2021 - 2022"
"1976","Lam Wai-ying ",64,"Manufacturing ",0,"679",-4.8,"2021 - 2022"
"1977","Juan Domingo Beckmann Legorreta & family ",54,"Food & Beverage ",0,"709",0,"2015 - 2016"
"1978","Weiguo Li ",57,"Manufacturing ",0,"718",0,"2015 - 2016"
"1979","Ermirio Pereira de Moraes & family ",89,"Diversified ",0,"719",0,"2015 - 2016"
"1980","Maria Helena Moraes Scripilliti & family ",91,"Diversified ",0,"720",0,"2015 - 2016"
"1981","Guanjiang Wu & family ",53,"Healthcare ",0,"727",0,"2015 - 2016"
"1982","Max Lytvyn ",42,"Technology ",0,"741",0,"2015 - 2016"
"1983","Ramzi Musallam ",53,"Finance & Investments ",0,"743",0,"2015 - 2016"
"1984","Alex Shevchenko ",42,"Technology ",0,"754",0,"2015 - 2016"
"1985","Zhao Lixin ",56,"Technology ",0,"763",0,"2015 - 2016"
"1986","Li Xiang ",40,"Automotive ",0,"767",-0.1,"2021 - 2022"
"1987","Yiling Wu ",72,"Healthcare ",0,"776",0,"2015 - 2016"
"1988","Gongshan Zhu ",64,"Manufacturing ",0,"777",0,"2015 - 2016"
"1989","Gurbachan Singh Dhingra ",71,"Manufacturing ",0,"780",0,"2015 - 2016"
"1990","Kuldip Singh Dhingra ",74,"Manufacturing ",0,"781",0,"2015 - 2016"
"1991","Susan Carol Holland ",65,"Manufacturing ",0,"785",0,"2015 - 2016"
"1992","Sergio Stevanato & family ",79,"Healthcare ",0,"795",0,"2015 - 2016"
"1993","Paul-Heinz Wesjohann & family ",78,"Food & Beverage ",0,"798",-0.8,"2021 - 2022"
"1994","Brad Jacobs ",65,"Logistics ",0,"808",0,"2015 - 2016"
"1995","Song Chi-hyung ",43,"Finance & Investments ",0,"819",0,"2015 - 2016"
"1996","Danielle Bellon & family ",82,"Service ",0,"822",0,"2015 - 2016"
"1997","Kenneth Dart ",66,"Finance & Investments ",0,"826",0,"2015 - 2016"
"1998","Rodger Riney & family ",76,"Finance & Investments ",0,"842",0,"2015 - 2016"
"1999","Zuowen Song ",75,"Diversified ",0,"844",0,"2015 - 2016"
"2000","Wenzhong Zhang ",60,"Fashion & Retail ",0,"850",0,"2015 - 2016"
"2001","Beatriz Davila de Santo Domingo ",83,"Food & Beverage ",0,"852",-0.4,"2021 - 2022"
"2002","Jiangtao Du & family ",52,"Manufacturing ",0,"856",0,"2015 - 2016"
"2003","Yuhua Gu & family ",72,"Manufacturing ",0,"859",0,"2015 - 2016"
"2004","Apoorva Mehta ",35,"Technology ",0,"868",0,"2015 - 2016"
"2005","Fu Liquan & family ",54,"Technology ",0,"891",-0.8,"2021 - 2022"
"2006","Laurence Graff & family ",83,"Fashion & Retail ",0,"893",-1.2,"2020 - 2021"
"2007","Jeff T. Green ",45,"Media & Entertainment ",0,"894",0,"2015 - 2016"
"2008","Tengyun Nie & family ",46,"Service ",0,"899",0,"2015 - 2016"
"2009","Chenghai Ye & family ",78,"Healthcare ",0,"912",0,"2015 - 2016"
"2010","Travis Boersma ",51,"Food & Beverage ",0,"917",0,"2015 - 2016"
"2011","Dongsheng Chen ",64,"Finance & Investments ",0,"919",0,"2015 - 2016"
"2012","Xuande Hua & family ",78,"Healthcare ",0,"925",0,"2015 - 2016"
"2013","Li Jianquan & family ",65,"Healthcare ",0,"931",-3.5,"2021 - 2022"
"2014","Horst Paulmann & family ",87,"Fashion & Retail ",0,"941",0,"2015 - 2016"
"2015","Cameron Adams ",42,"Technology ",0,"951",0,"2015 - 2016"
"2016","Dongchen Cai ",69,"Healthcare ",0,"952",0,"2015 - 2016"
"2017","Giuseppe Crippa & family ",86,"Manufacturing ",0,"957",0,"2015 - 2016"
"2018","Ernest Garcia, III ",39,"Automotive ",0,"959",0,"2015 - 2016"
"2019","Robert Hale, Jr. ",55,"Telecom ",0,"963",0,"2015 - 2016"
"2020","Gaiteng Li ",49,"Manufacturing ",0,"993",0,"2015 - 2016"
"2021","Liufa Li & family ",64,"Diversified ",0,"994",0,"2015 - 2016"
"2022","Sergei Popov ",50,"Finance & Investments ",0,"1002",-1.4,"2021 - 2022"
"2023","Karthik Sarma ",47,"Finance & Investments ",0,"1004",0,"2015 - 2016"
"2024","Zhang Fan ",56,"Technology ",0,"1011",-3,"2020 - 2021"
"2025","Neal Blue & family ",87,"Manufacturing ",0,"1014",-0.8,"2020 - 2021"
"2026","Chang Kuo-Hua ",67,"Logistics ",0,"1016",0,"2015 - 2016"
"2027","Dawen Huang ",61,"Manufacturing ",0,"1023",0,"2015 - 2016"
"2028","Sheldon Lavin ",89,"Food & Beverage ",0,"1024",0,"2015 - 2016"
"2029","Joseph Liemandt ",53,"Technology ",0,"1027",0,"2015 - 2016"
"2030","Wijono & Hermanto Tanoko ",64,"Manufacturing ",0,"1037",0,"2015 - 2016"
"2031","Ning Wang & family ",35,"Media & Entertainment ",0,"1043",0,"2015 - 2016"
"2032","Zhigang Wu & family ",87,"Food & Beverage ",0,"1045",0,"2015 - 2016"
"2033","Oren Zeev ",57,"Finance & Investments ",0,"1047",0,"2015 - 2016"
"2034","Zhang Lei ",49,"Finance & Investments ",0,"1049",0,"2015 - 2016"
"2035","Zhang Xin & Pan Shiyi ",56,"Real Estate ",0,"1050",-0.3,"2021 - 2022"
"2036","Zhu Yan & family ",64,"Real Estate ",0,"1051",0,"2015 - 2016"
"2037","Bang Si-hyuk ",49,"Media & Entertainment ",0,"1055",0,"2015 - 2016"
"2038","Bui Thanh Nhon ",64,"Real Estate ",0,"1060",0,"2015 - 2016"
"2039","Guo Zhenyu & family ",58,"Fashion & Retail ",0,"1067",0,"2015 - 2016"
"2040","Zhenda Huang & family ",74,"Construction & Engineering ",0,"1069",0,"2015 - 2016"
"2041","Benjamin Otto ",64,"Fashion & Retail ",0,"1076",0,"2015 - 2016"
"2042","Frank VanderSloot ",73,"Fashion & Retail ",0,"1088",-0.5,"2021 - 2022"
"2043","Guangming Wu ",60,"Healthcare ",0,"1089",0,"2015 - 2016"
"2044","Kai Wu ",54,"Energy ",0,"1090",0,"2015 - 2016"
"2045","Ye Fan & family ",51,"Automotive ",0,"1091",0,"2015 - 2016"
"2046","Yoo Jung-hyun ",52,"Media & Entertainment ",0,"1092",0,"2015 - 2016"
"2047","Fenggang Zhao ",56,"Energy ",0,"1093",0,"2015 - 2016"
"2048","Karen Virginia Beckmann Legoretta ",52,"Food & Beverage ",0,"1103",0,"2015 - 2016"
"2049","Hua Chen ",56,"Real Estate ",0,"1108",0,"2015 - 2016"
"2050","George Kurtz ",51,"Technology ",0,"1124",-0.2,"2021 - 2022"
"2051","Pan Dong ",57,"Fashion & Retail ",0,"1137",-5.5,"2021 - 2022"
"2052","Sebastian Piñera & family ",72,"Finance & Investments ",0,"1141",-0.1,"2021 - 2022"
"2053","Isabella Seràgnoli ",76,"Manufacturing ",0,"1145",0,"2015 - 2016"
"2054","Xicheng Wang & family ",73,"Manufacturing ",0,"1156",0,"2015 - 2016"
"2055","Weiguo Zhao ",55,"Technology ",0,"1162",0,"2015 - 2016"
"2056","Jinxia Chen ",54,"Finance & Investments ",0,"1173",0,"2015 - 2016"
"2057","Hailiang Feng ",61,"Metals & Mining ",0,"1179",0,"2015 - 2016"
"2058","Xingjiang Gao ",58,"Manufacturing ",0,"1180",0,"2015 - 2016"
"2059","Vivek Jain ",66,"Manufacturing ",0,"1182",0,"2015 - 2016"
"2060","Abdulla bin Ahmad Al Ghurair & family ",64,"Diversified ",0,"1196",-0.9,"2020 - 2021"
"2061","Federico De Nora ",54,"Manufacturing ",0,"1206",0,"2015 - 2016"
"2062","Rajinder Gupta ",63,"Manufacturing ",0,"1214",0,"2015 - 2016"
"2063","Liu Fangyi ",52,"Healthcare ",0,"1218",-1.6,"2021 - 2022"
"2064","Tahir & family ",70,"Diversified ",0,"1233",-0.8,"2020 - 2021"
"2065","Wang Linpeng ",53,"Construction & Engineering ",0,"1234",-1.3,"2021 - 2022"
"2066","Xingming Zhu ",55,"Manufacturing ",0,"1237",0,"2015 - 2016"
"2067","David Baszucki ",59,"Media & Entertainment ",0,"1241",-0.3,"2021 - 2022"
"2068","Chuchat Petaumpai & Daonapa Petampai ",69,"Finance & Investments ",0,"1246",-1,"2021 - 2022"
"2069","Yoichi & Keiko Erikawa ",64,"Media & Entertainment ",0,"1251",-0.7,"2021 - 2022"
"2070","Donald Horton & family ",72,"Real Estate ",0,"1258",0,"2015 - 2016"
"2071","William Li ",47,"Automotive ",0,"1263",-3.3,"2021 - 2022"
"2072","Enhua Mi ",64,"Fashion & Retail ",0,"1270",0,"2015 - 2016"
"2073","Ravi Modi ",45,"Fashion & Retail ",0,"1273",0,"2015 - 2016"
"2074","Yongpei Ni & family ",70,"Food & Beverage ",0,"1276",0,"2015 - 2016"
"2075","Nadia Thiele ",46,"Finance & Investments ",0,"1286",0,"2015 - 2016"
"2076","Huijiao Yu ",56,"Logistics ",0,"1288",0,"2015 - 2016"
"2077","Hongyi Zhou ",51,"Technology ",0,"1291",0,"2015 - 2016"
"2078","Zhisong Chen ",56,"Technology ",0,"1298",0,"2015 - 2016"
"2079","Chetan Dube ",56,"Technology ",0,"1303",0,"2015 - 2016"
"2080","Bernard Fraisse & family ",65,"Healthcare ",0,"1306",0,"2015 - 2016"
"2081","William Franke ",84,"Diversified ",0,"1307",0,"2015 - 2016"
"2082","Hans Langer ",70,"Manufacturing ",0,"1310",-0.4,"2020 - 2021"
"2083","Joe Lau ",32,"Technology ",0,"1311",0,"2015 - 2016"
"2084","Kevin David Lehmann ",19,"Fashion & Retail ",0,"1312",-0.9,"2021 - 2022"
"2085","Rajan Raheja & family ",67,"Diversified ",0,"1318",-0.1,"2021 - 2022"
"2086","Otto Toto Sugiri ",68,"Technology ",0,"1326",0,"2015 - 2016"
"2087","Jeff Tangney ",49,"Healthcare ",0,"1331",0,"2015 - 2016"
"2088","Nikil Viswanathan ",34,"Technology ",0,"1337",0,"2015 - 2016"
"2089","Houshan Bai ",58,"Energy ",0,"1341",0,"2015 - 2016"
"2090","William Boyd & family ",90,"Gambling & Casinos ",0,"1344",0,"2015 - 2016"
"2091","Cho Young-sik ",60,"Healthcare ",0,"1349",0,"2015 - 2016"
"2092","Mario Germano Giuliani ",50,"Healthcare ",0,"1357",0,"2015 - 2016"
"2093","Zhaobai Jiang ",58,"Real Estate ",0,"1367",0,"2015 - 2016"
"2094","Liang Rubo ",39,"Technology ",0,"1373",0,"2015 - 2016"
"2095","Stephan Schmidheiny ",74,"Finance & Investments ",0,"1385",-0.3,"2015 - 2016"
"2096","Wenrong Shen ",76,"Metals & Mining ",0,"1386",0,"2015 - 2016"
"2097","Guangxin Sun ",59,"Diversified ",0,"1387",0,"2015 - 2016"
"2098","Mengquan Sun & family ",72,"Food & Beverage ",0,"1388",0,"2015 - 2016"
"2099","Yingming Wu ",55,"Energy ",0,"1392",0,"2015 - 2016"
"2100","Yingzhuo Xu ",54,"Food & Beverage ",0,"1393",0,"2015 - 2016"
"2101","Xiaojuan Zhang ",52,"Logistics ",0,"1396",0,"2015 - 2016"
"2102","Alex Atallah ",30,"Technology ",0,"1398",0,"2015 - 2016"
"2103","Yadu Hari Dalmia & family ",74,"Manufacturing ",0,"1402",0,"2015 - 2016"
"2104","Zhenggang Dou ",68,"Diversified ",0,"1403",0,"2015 - 2016"
"2105","Weimin Du ",58,"Healthcare ",0,"1404",0,"2015 - 2016"
"2106","Devin Finzer ",31,"Technology ",0,"1405",0,"2015 - 2016"
"2107","Georg Haub ",60,"Fashion & Retail ",0,"1410",-0.5,"2021 - 2022"
"2108","Shlomo Kramer ",56,"Technology ",0,"1414",0,"2015 - 2016"
"2109","Lin Lairong & family ",53,"Metals & Mining ",0,"1422",0,"2015 - 2016"
"2110","Ming Tian ",68,"Technology ",0,"1435",0,"2015 - 2016"
"2111","Riaz Valani ",45,"Finance & Investments ",0,"1438",0,"2015 - 2016"
"2112","Bill and Jean Adderley & family ",64,"Fashion & Retail ",0,"1445",-0.2,"2021 - 2022"
"2113","Fang Xiaoliang & family ",63,"Healthcare ",0,"1463",0,"2015 - 2016"
"2114","Gary Friedman ",64,"Fashion & Retail ",0,"1465",-0.7,"2021 - 2022"
"2115","Kwek Leng Kee ",67,"Diversified ",0,"1477",-0.2,"2020 - 2021"
"2116","Yangyong Luo & family ",46,"Metals & Mining ",0,"1483",0,"2015 - 2016"
"2117","Igor Makarov ",60,"Energy ",0,"1484",0,"2015 - 2016"
"2118","Yuji Otsuka ",68,"Technology ",0,"1487",-0.5,"2021 - 2022"
"2119","Xiangdong Qi ",51,"Technology ",0,"1491",0,"2015 - 2016"
"2120","Jianhua Ren ",65,"Manufacturing ",0,"1492",0,"2015 - 2016"
"2121","Song Fei ",55,"Manufacturing ",0,"1495",-1.7,"2021 - 2022"
"2122","Timothy Springer ",74,"Healthcare ",0,"1496",-0.1,"2021 - 2022"
"2123","Suyu Su & family ",73,"Real Estate ",0,"1497",0,"2015 - 2016"
"2124","Steven Meng Yang & family ",39,"Technology ",0,"1510",-2.1,"2021 - 2022"
"2125","Hongfei Zhao ",47,"Technology ",0,"1512",0,"2015 - 2016"
"2126","S. Daniel Abraham ",97,"Food & Beverage ",0,"1513",-0.1,"2017 - 2018"
"2127","Guilherme Benchimol ",45,"Finance & Investments ",0,"1517",-0.6,"2021 - 2022"
"2128","Ryan Breslow ",27,"Technology ",0,"1519",0,"2015 - 2016"
"2129","Georgi Domuschiev ",49,"Diversified ",0,"1525",0,"2015 - 2016"
"2130","Kiril Domuschiev ",52,"Diversified ",0,"1526",0,"2015 - 2016"
"2131","Glenn Dubin ",64,"Finance & Investments ",0,"1527",0,"2015 - 2016"
"2132","Fu Mingkang & family ",59,"Manufacturing ",0,"1532",-0.4,"2021 - 2022"
"2133","Jay Hennick ",65,"Finance & Investments ",0,"1533",0,"2015 - 2016"
"2134","Kim Chang-soo ",61,"Fashion & Retail ",0,"1536",0,"2015 - 2016"
"2135","Vyacheslav Kim ",52,"Finance & Investments ",0,"1537",-1.3,"2021 - 2022"
"2136","Egor Kulkov ",50,"Healthcare ",0,"1539",0,"2015 - 2016"
"2137","Josh Kushner ",36,"Finance & Investments ",0,"1540",0,"2015 - 2016"
"2138","Jim McKelvey ",56,"Technology ",0,"1549",-1.5,"2021 - 2022"
"2139","Linda Pritzker ",68,"Service ",0,"1554",0,"2015 - 2016"
"2140","Joe Rogers, Jr. ",75,"Food & Beverage ",0,"1556",0,"2015 - 2016"
"2141","Phil Ruffin ",87,"Diversified ",0,"1558",-0.4,"2020 - 2021"
"2142","Genhuo Shao ",56,"Food & Beverage ",0,"1561",0,"2015 - 2016"
"2143","Wang Jianguo ",62,"Fashion & Retail ",0,"1569",0,"2015 - 2016"
"2144","Shuifu Wang ",67,"Manufacturing ",0,"1570",0,"2015 - 2016"
"2145","Wenbiao Wang ",65,"Manufacturing ",0,"1571",0,"2015 - 2016"
"2146","Zhongyi Wu ",48,"Technology ",0,"1574",0,"2015 - 2016"
"2147","Zhihan Xu ",49,"Technology ",0,"1575",0,"2015 - 2016"
"2148","Yuan Liping ",51,"Healthcare ",0,"1578",-1.6,"2021 - 2022"
"2149","Baokun Bai ",52,"Manufacturing ",0,"1582",0,"2015 - 2016"
"2150","Kiki Barki ",82,"Energy ",0,"1584",0,"2015 - 2016"
"2151","Francois Feuillet & family ",73,"Automotive ",0,"1593",0,"2015 - 2016"
"2152","Guangming Fu & family ",68,"Food & Beverage ",0,"1594",0,"2015 - 2016"
"2153","He Zhenggang ",68,"Manufacturing ",0,"1597",0,"2015 - 2016"
"2154","Kim Hyoung-nyon ",46,"Finance & Investments ",0,"1604",0,"2015 - 2016"
"2155","Mikhail Lomtadze ",46,"Finance & Investments ",0,"1610",-1.3,"2021 - 2022"
"2156","Shouliang Miao ",67,"Real Estate ",0,"1614",0,"2015 - 2016"
"2157","Dwight Schar ",80,"Construction & Engineering ",0,"1627",0,"2015 - 2016"
"2158","Sun Hongjun ",48,"Technology ",0,"1629",0,"2015 - 2016"
"2159","Anand Surana ",51,"Healthcare ",0,"1630",0,"2015 - 2016"
"2160","Dilip Surana ",56,"Healthcare ",0,"1631",0,"2015 - 2016"
"2161","Changtian Wang ",56,"Media & Entertainment ",0,"1637",0,"2015 - 2016"
"2162","Xue Xiangdong & family ",63,"Technology ",0,"1642",-0.9,"2020 - 2021"
"2163","Chang Kuo-Ming ",64,"Logistics ",0,"1652",0,"2015 - 2016"
"2164","Liying Chen ",46,"Logistics ",0,"1654",0,"2015 - 2016"
"2165","Tench Coxe ",64,"Finance & Investments ",0,"1658",0,"2015 - 2016"
"2166","Ibrahim Erdemoglu ",59,"Manufacturing ",0,"1661",-0.2,"2021 - 2022"
"2167","James France ",77,"Sports ",0,"1664",-0.2,"2017 - 2018"
"2168","Zhongru Gan ",73,"Healthcare ",0,"1666",0,"2015 - 2016"
"2169","Ali Ghodsi ",43,"Technology ",0,"1668",0,"2015 - 2016"
"2170","Surjit Kumar Gupta ",80,"Manufacturing ",0,"1672",-0.0999999999999999,"2021 - 2022"
"2171","Chengzhong Hu ",61,"Manufacturing ",0,"1675",0,"2015 - 2016"
"2172","Huang Min ",48,"Manufacturing ",0,"1676",0,"2015 - 2016"
"2173","Mark & Robyn Jones ",64,"Finance & Investments ",0,"1681",-0.7,"2021 - 2022"
"2174","Kim Kardashian ",41,"Fashion & Retail ",0,"1683",0,"2015 - 2016"
"2175","Liu Zhongtian & family ",58,"Manufacturing ",0,"1692",-0.4,"2020 - 2021"
"2176","Charlwin Mao ",64,"Fashion & Retail ",0,"1694",0,"2015 - 2016"
"2177","Robert G. Miller ",76,"Technology ",0,"1698",0,"2015 - 2016"
"2178","Zugen Ni ",65,"Manufacturing ",0,"1702",0,"2015 - 2016"
"2179","Mrudula Parekh ",74,"Manufacturing ",0,"1704",0,"2015 - 2016"
"2180","Pierre Karl Péladeau ",60,"Media & Entertainment ",0,"1706",-0.2,"2021 - 2022"
"2181","Miranda Qu ",37,"Fashion & Retail ",0,"1707",0,"2015 - 2016"
"2182","Frank Slootman ",63,"Technology ",0,"1714",-0.0999999999999999,"2021 - 2022"
"2183","Yuequn Tao ",62,"Fashion & Retail ",0,"1716",0,"2015 - 2016"
"2184","Zhenghua Wang ",77,"Service ",0,"1719",0,"2015 - 2016"
"2185","Xu Shijun & family ",59,"Manufacturing ",0,"1724",0,"2015 - 2016"
"2186","Yang Xuegang ",57,"Manufacturing ",0,"1726",-0.0999999999999999,"2021 - 2022"
"2187","Xuexin Zhang & family ",74,"Metals & Mining ",0,"1728",0,"2015 - 2016"
"2188","Noubar Afeyan ",59,"Healthcare ",0,"1729",-0.2,"2021 - 2022"
"2189","Alex Birkenstock ",53,"Fashion & Retail ",0,"1734",0,"2015 - 2016"
"2190","Christian Birkenstock ",49,"Fashion & Retail ",0,"1735",0,"2015 - 2016"
"2191","Mingtong Cai ",70,"Technology ",0,"1740",0,"2015 - 2016"
"2192","Dong Jinggui ",52,"Automotive ",0,"1749",-1.6,"2021 - 2022"
"2193","G. Gnanalingam ",77,"Logistics ",0,"1753",0,"2015 - 2016"
"2194","Tianjiang Jia & family ",59,"Metals & Mining ",0,"1757",0,"2015 - 2016"
"2195","Li Jianli ",49,"Manufacturing ",0,"1766",0,"2015 - 2016"
"2196","Weiwei Li ",45,"Technology ",0,"1767",0,"2015 - 2016"
"2197","Li Zhigang ",45,"Manufacturing ",0,"1768",0,"2015 - 2016"
"2198","Jimmy John Liautaud ",58,"Food & Beverage ",0,"1769",0,"2015 - 2016"
"2199","Lu Di ",64,"Technology ",0,"1771",0,"2015 - 2016"
"2200","Rihanna ",34,"Fashion & Retail ",0,"1783",0,"2015 - 2016"
"2201","Shang Xiaobo & family ",48,"Manufacturing ",0,"1786",-0.1,"2021 - 2022"
"2202","Renate Sick-Glaser ",64,"Technology ",0,"1788",-0.7,"2021 - 2022"
"2203","Weijie Sun ",58,"Manufacturing ",0,"1791",0,"2015 - 2016"
"2204","Byron Trott ",63,"Finance & Investments ",0,"1793",0,"2015 - 2016"
