"","Nazwisko","Wiek","Branza","Najwiekszy.progres.majatku","Lata.miedzy.ktorymi.najbardziej.zwiekszyl.a.majatek","Najwiekszy.regres.majatku","Lata.miedzy.ktorymi.najbardziej.zmniejszyl.a.majatek"
"302","Wang Yanqing & family ",55,"Manufacturing ",3.4,"2021 - 2022",-0.6,"2020 - 2021"
"303","David Cheriton ",71,"Technology ",3.3,"2020 - 2021",-1.72,"2018 - 2019"
"304","Jay Y. Lee ",53,"Diversified ",3.3,"2020 - 2021",-1.2,"2015 - 2016"
"305","Nassef Sawiris ",61,"Construction & Engineering ",3.3,"2020 - 2021",-2.6,"2015 - 2016"
"306","Alceu Elias Feldmann ",72,"Energy ",3.3,"2020 - 2021",-2.8,"2021 - 2022"
"307","Murali Divi & family ",71,"Healthcare ",3.3,"2020 - 2021",0,"2015 - 2016"
"308","Martin Lorentzon ",53,"Technology ",3.3,"2020 - 2021",-3.1,"2021 - 2022"
"309","Wu Yajun ",58,"Real Estate ",3.2,"2017 - 2018",-3,"2021 - 2022"
"310","Dmitry Rybolovlev ",55,"Manufacturing ",3.2,"2018 - 2019",-3.4,"2019 - 2020"
"311","Juergen Blickle ",75,"Manufacturing ",3.2,"2020 - 2021",0,"2015 - 2016"
"312","Chu Mang Yee & family ",62,"Real Estate ",3.2,"2020 - 2021",-1.8,"2021 - 2022"
"313","Aloys Wobben ",70,"Energy ",3.2,"2020 - 2021",-2.7,"2019 - 2020"
"314","Shen Guojun ",59,"Fashion & Retail ",3.2,"2020 - 2021",-0.2,"2017 - 2018"
"315","Wang Junshi & family ",73,"Manufacturing ",3.2,"2021 - 2022",0,"2015 - 2016"
"316","Aliko Dangote ",64,"Manufacturing ",3.2,"2020 - 2021",-8.4,"2019 - 2020"
"317","Shahid Khan ",71,"Automotive ",3.15,"2019 - 2020",-2.55,"2018 - 2019"
"318","Steven Rales ",71,"Manufacturing ",3.1,"2020 - 2021",-0.5,"2021 - 2022"
"319","Michel Leclercq & family ",82,"Fashion & Retail ",3.1,"2020 - 2021",-1.9,"2021 - 2022"
"320","Maria Franca Fissolo ",87,"Food & Beverage ",3.1,"2016 - 2017",-23,"2017 - 2018"
"321","Marijke Mars ",57,"Food & Beverage ",3.06,"2018 - 2019",-2.76,"2019 - 2020"
"322","Valerie Mars ",63,"Food & Beverage ",3.06,"2018 - 2019",-2.76,"2019 - 2020"
"323","Victoria Mars ",65,"Food & Beverage ",3.06,"2018 - 2019",-2.76,"2019 - 2020"
"324","Israel Englander ",73,"Finance & Investments ",3,"2020 - 2021",0,"2017 - 2018"
"325","Jiang Bin ",55,"Technology ",3,"2020 - 2021",-0.0999999999999996,"2016 - 2017"
"326","Prajogo Pangestu ",77,"Diversified ",3,"2020 - 2021",-0.9,"2021 - 2022"
"327","Fred Smith ",77,"Logistics ",3,"2020 - 2021",-1,"2021 - 2022"
"328","Huang Li ",58,"Technology ",3,"2020 - 2021",-1.7,"2021 - 2022"
"329","Oleg Deripaska ",54,"Metals & Mining ",3,"2016 - 2017",-4.1,"2015 - 2016"
"330","Sarath Ratanavadi ",56,"Energy ",2.9,"2021 - 2022",0,"2015 - 2016"
"331","Ian & Richard Livingstone ",64,"Real Estate ",2.9,"2020 - 2021",-0.4,"2021 - 2022"
"332","Tamara Gustavson ",60,"Service ",2.9,"2021 - 2022",-0.6,"2017 - 2018"
"333","Rainer Blickle ",74,"Manufacturing ",2.9,"2020 - 2021",0.3,"2021 - 2022"
"334","Ken Xie ",59,"Technology ",2.9,"2020 - 2021",0,"2015 - 2016"
"335","Reinhold Schmieding ",67,"Healthcare ",2.87,"2018 - 2019",-2.47,"2019 - 2020"
"336","Philip Anschutz ",82,"Finance & Investments ",2.8,"2016 - 2017",-2.1,"2015 - 2016"
"337","George Lucas ",77,"Media & Entertainment ",2.8,"2020 - 2021",-2.28,"2019 - 2020"
"338","Bajaj brothers ",64,"Diversified ",2.8,"2020 - 2021",0,"2015 - 2016"
"339","Miao Hangen ",57,"Diversified ",2.8,"2020 - 2021",0,"2015 - 2016"
"340","Xu Jinfu ",58,"Manufacturing ",2.8,"2021 - 2022",0,"2015 - 2016"
"341","Kelcy Warren ",66,"Energy ",2.8,"2016 - 2017",-4.5,"2015 - 2016"
"342","Shu Ping ",52,"Food & Beverage ",2.8,"2020 - 2021",-4.1,"2021 - 2022"
"343","Kwong Siu-hing ",92,"Real Estate ",2.8,"2020 - 2021",-2.1,"2021 - 2022"
"344","Benu Gopal Bangur ",90,"Manufacturing ",2.8,"2020 - 2021",-2,"2021 - 2022"
"345","Xavier Niel ",54,"Telecom ",2.7,"2020 - 2021",-4.21,"2018 - 2019"
"346","Tim Sweeney ",51,"Media & Entertainment ",2.7,"2021 - 2022",-2.68,"2019 - 2020"
"347","Henry Nicholas, III. ",62,"Technology ",2.7,"2020 - 2021",0.3,"2017 - 2018"
"348","Takahisa Takahara ",60,"Fashion & Retail ",2.7,"2020 - 2021",-1.5,"2021 - 2022"
"349","Rocco Commisso ",72,"Telecom ",2.7,"2020 - 2021",-1.1,"2021 - 2022"
"350","Jane Lauder ",49,"Fashion & Retail ",2.7,"2020 - 2021",-0.5,"2021 - 2022"
"351","Koon Poh Keong ",60,"Manufacturing ",2.7,"2020 - 2021",0,"2015 - 2016"
"352","Liang Feng ",53,"Manufacturing ",2.7,"2021 - 2022",0,"2015 - 2016"
"353","Alexandre Behring ",55,"Finance & Investments ",2.7,"2020 - 2021",-1.9,"2021 - 2022"
"354","Friedrich Knapp ",70,"Fashion & Retail ",2.7,"2020 - 2021",-0.8,"2015 - 2016"
"355","Wang Zhenhua ",60,"Real Estate ",2.7,"2020 - 2021",-3.7,"2021 - 2022"
"356","Nusli Wadia ",78,"Food & Beverage ",2.7,"2017 - 2018",-1.96,"2019 - 2020"
"357","Garrett Camp ",43,"Technology ",2.7,"2020 - 2021",-1.6,"2021 - 2022"
"358","Melissa Ma ",64,"Technology ",2.7,"2020 - 2021",-2.1,"2021 - 2022"
